Country,Customers,Transactions,Total_Revenue,Revenue_per_Customer
EIRE,3,260,265545.9,88515.3
Netherlands,9,94,285446.34,31716.26
Singapore,1,7,21279.29,21279.29
Australia,9,57,138521.31,15391.26
Sweden,8,36,38378.33,4797.29
Japan,8,19,37416.37,4677.05
Iceland,1,7,4310,4310
Norway,10,36,36165.44,3616.54
Switzerland,21,51,56443.95,2687.81
Germany,94,457,228867.14,2434.76
Israel,3,5,7221.69,2407.23
France,87,389,209024.05,2402.58
"Channel Islands",9,26,20450.44,2272.27
Denmark,9,18,18955.34,2106.15
Spain,30,90,61577.11,2052.57
Finland,12,41,22546.08,1878.84
"United Kingdom",3920,16646,7308391.55,1864.39
Portugal,19,57,33439.89,1759.99
Cyprus,8,16,13590.38,1698.8
Lebanon,1,1,1693.88,1693.88
Lithuania,1,4,1661.06,1661.06
Belgium,25,98,41196.34,1647.85
Malta,2,5,2725.59,1362.8
"European Community",1,4,1300.25,1300.25
Italy,14,38,17483.24,1248.8
Poland,6,19,7334.65,1222.44
Greece,4,5,4760.52,1190.13
Brazil,1,1,1143.6,1143.6
RSA,1,1,1002.31,1002.31
"United Arab Emirates",2,3,1902.28,951.14
Austria,11,17,10198.68,927.15
Canada,4,6,3666.38,916.59
USA,4,5,3580.39,895.1
"Czech Republic",1,2,826.74,826.74
Unspecified,4,8,2667.07,666.77
Bahrain,2,2,548.4,274.2
"Saudi Arabia",1,1,145.92,145.92
