"CohortIndex","Avg_Retention","Median_Retention"
0,100,100
1,20.6231801386017,19.8620718393199
2,22.1163157046991,20.7446808510638
3,23.2444039024407,22.6810041328639
4,24.5545978230076,23.1404958677686
5,25.0811726933134,23.9881393624907
6,24.3691064643271,25.2631578947368
7,24.2577510652726,25.1103117505995
8,25.0579064912714,27.8761061946903
9,27.8291414613291,31.5701123311877
10,26.898024845066,36.4508393285372
11,31.016542698045,31.016542698045
12,26.5536723163842,26.5536723163842
