"CohortMonth","CohortIndex","Customers","RetentionRate"
"2010-12",0,885,100
"2010-12",1,324,36.6101694915254
"2010-12",2,286,32.316384180791
"2010-12",3,340,38.4180790960452
"2010-12",4,321,36.271186440678
"2010-12",5,352,39.774011299435
"2010-12",6,321,36.271186440678
"2010-12",7,309,34.9152542372881
"2010-12",8,313,35.3672316384181
"2010-12",9,350,39.5480225988701
"2010-12",10,331,37.4011299435028
"2010-12",11,445,50.2824858757062
"2010-12",12,235,26.5536723163842
"2011-01",0,417,100
"2011-01",1,92,22.0623501199041
"2011-01",2,111,26.6187050359712
"2011-01",3,96,23.021582733813
"2011-01",4,134,32.1342925659472
"2011-01",5,120,28.7769784172662
"2011-01",6,103,24.7002398081535
"2011-01",7,101,24.220623501199
"2011-01",8,125,29.9760191846523
"2011-01",9,136,32.6139088729017
"2011-01",10,152,36.4508393285372
"2011-01",11,49,11.7505995203837
"2011-02",0,380,100
"2011-02",1,71,18.6842105263158
"2011-02",2,71,18.6842105263158
"2011-02",3,108,28.4210526315789
"2011-02",4,103,27.1052631578947
"2011-02",5,94,24.7368421052632
"2011-02",6,96,25.2631578947368
"2011-02",7,106,27.8947368421053
"2011-02",8,94,24.7368421052632
"2011-02",9,116,30.5263157894737
"2011-02",10,26,6.8421052631579
"2011-03",0,452,100
"2011-03",1,68,15.0442477876106
"2011-03",2,114,25.2212389380531
"2011-03",3,90,19.9115044247788
"2011-03",4,101,22.3451327433628
"2011-03",5,76,16.8141592920354
"2011-03",6,121,26.7699115044248
"2011-03",7,104,23.0088495575221
"2011-03",8,126,27.8761061946903
"2011-03",9,39,8.6283185840708
"2011-04",0,300,100
"2011-04",1,64,21.3333333333333
"2011-04",2,61,20.3333333333333
"2011-04",3,63,21
"2011-04",4,59,19.6666666666667
"2011-04",5,68,22.6666666666667
"2011-04",6,65,21.6666666666667
"2011-04",7,78,26
"2011-04",8,22,7.33333333333333
"2011-05",0,284,100
"2011-05",1,54,19.0140845070423
"2011-05",2,49,17.2535211267606
"2011-05",3,49,17.2535211267606
"2011-05",4,59,20.7746478873239
"2011-05",5,66,23.2394366197183
"2011-05",6,75,26.4084507042254
"2011-05",7,27,9.50704225352113
"2011-06",0,242,100
"2011-06",1,42,17.3553719008264
"2011-06",2,38,15.702479338843
"2011-06",3,64,26.4462809917355
"2011-06",4,56,23.1404958677686
"2011-06",5,81,33.4710743801653
"2011-06",6,23,9.50413223140496
"2011-07",0,188,100
"2011-07",1,34,18.0851063829787
"2011-07",2,39,20.7446808510638
"2011-07",3,42,22.3404255319149
"2011-07",4,51,27.1276595744681
"2011-07",5,21,11.1702127659574
"2011-08",0,169,100
"2011-08",1,35,20.7100591715976
"2011-08",2,42,24.8520710059172
"2011-08",3,41,24.2603550295858
"2011-08",4,21,12.4260355029586
"2011-09",0,299,100
"2011-09",1,70,23.4113712374582
"2011-09",2,90,30.1003344481605
"2011-09",3,34,11.371237458194
"2011-10",0,358,100
"2011-10",1,86,24.0223463687151
"2011-10",2,41,11.4525139664804
"2011-11",0,323,100
"2011-11",1,36,11.1455108359133
"2011-12",0,41,100
